date,dauios,dauandroid,total
01-Jul-14,6005,3861,9866
02-Jul-14,5955,3612,9567
03-Jul-14,5928,3723,9651
04-Jul-14,5873,3794,9667
05-Jul-14,5957,3738,9695
06-Jul-14,6371,4004,10375
07-Jul-14,6074,3810,9884
08-Jul-14,5936,3726,9662
09-Jul-14,5991,3734,9725
10-Jul-14,6081,3802,9883
11-Jul-14,5967,3663,9630
12-Jul-14,5994,3746,9740
13-Jul-14,6032,3824,9856
14-Jul-14,5959,3774,9733
15-Jul-14,5735,3615,9350
16-Jul-14,5755,3523,9278
17-Jul-14,6446,3767,10213
18-Jul-14,5786,3481,9267
19-Jul-14,5437,3351,8788
20-Jul-14,5178,3022,8200
21-Jul-14,4936,3013,7949
22-Jul-14,4670,2658,7328
23-Jul-14,4417,2445,6862
24-Jul-14,4403,2524,6927
25-Jul-14,3894,2140,6034
26-Jul-14,3793,2134,5927
27-Jul-14,3731,2022,5753
28-Jul-14,3587,1983,5570
29-Jul-14,3273,1823,5096
30-Jul-14,3211,1755,4966
31-Jul-14,2968,1518,4486
01-Aug-14,2840,1622,4462
