日付,会員数,新規登録数,新規登録（デカプロフ入力完了）,PV全体,SP-PV全体,PV(会員),SP-PV(会員),PV(非会員),SP-PV(非会員),閲覧UU全体,閲覧UU(非会員),閲覧SP-UU(非会員),DAU全体,SP-DAU全体,暫定閲覧SP-UU全体,DAU iOS,DAU Android,MAU進捗,新規UU進捗,リピートUU進捗,呼び戻しUU進捗,プラットフォーム利用UU,デカトップ利用UU,デカホーム利用UU,プラットフォーム利用率,デカトップ利用率,デカホーム利用率,離脱率(7日後),離脱率(30日後),つながり数平均,つながり数中央値,つながり申請UU,つながり申請数,ソーシャルコネクト数(facebook),ソーシャルコネクトUU(facebook),ソーシャルコネクト数(twitter),ソーシャルコネクトUU(twitter),ソーシャルコネクト数(ameba),ソーシャルコネクトUU(ameba),ソーシャルコネクト数(mixi),ソーシャルコネクトUU(mixi),ソーシャルポスト数(facebook),ソーシャルポストUU(facebook),ソーシャルポスト数(twitter),ソーシャルポストUU(twitter),ソーシャルポスト数(ameba),ソーシャルポストUU(ameba),ソーシャルポスト数(mixi),ソーシャルポストUU(mixi),エントリーポスト数,エントリーポストUU,PV(like),PV UU(like),PV(follow),PV UU(follow),PV(tutorial end),PV UU(tutorial end),全コメント総数,全コメントUU,全いいね総数,全いいねUU,メッセージ総数,メッセージUU,スペンドUU全体,スペンド額全体,スペンドARPPU全体,スペンドARPU全体,スペンド率全体,スペンドUU（iOSポイント）,スペンド額（iOSポイント）,スペンドARPPU（iOSポイント）,スペンドARPU（iOSポイント）,スペンド率（iOSポイント）,スペンドUU（コイン）,スペンド額（コイン）,スペンドARPPU（コイン）,スペンドARPU（コイン）,スペンド率（コイン）,スペンドUU（アメG）,スペンド額（アメG）,スペンドARPPU（アメG）,スペンドARPU（アメG）,スペンド率（アメG）
2014-08-01,289183,0,0,2795573,2568669,258812,250422,2536761,2318247,346614,342369,295463,4601,4449,299912,2840,1622,4601,145,4358,98,1722,3,1661,37.43,0.07,36.10,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187981,1610,15608,419,929,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-08-02,289183,0,0,2726842,2521793,236660,230701,2490182,2291092,342071,338207,294517,4177,4042,298559,2699,1351,5824,250,5377,197,1508,1,1455,36.10,0.02,34.83,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184618,1532,14985,402,710,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-08-03,289184,1,3,2973882,2759447,246329,241044,2727553,2518403,369908,366146,319478,4137,3978,323456,2617,1371,6694,397,6012,285,1545,1,1480,37.35,0.02,35.77,100.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209104,1474,16764,396,916,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-08-04,289184,0,1,3156922,2942502,234442,224324,2922480,2718178,372818,369271,323633,3888,3736,327369,2523,1219,7295,510,6427,358,1416,1,1366,36.42,0.03,35.13,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227069,1432,17105,379,897,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-08-05,289184,0,0,3073435,2857750,200211,191943,2873224,2665807,375617,372254,319810,3732,3548,323358,2341,1216,7871,619,6812,440,1393,1,1346,37.33,0.03,36.07,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235285,1278,16090,351,796,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-08-06,289184,0,1,3110128,2895905,202073,191824,2908055,2704081,369078,365886,320206,3568,3398,323604,2235,1171,8365,757,7089,519,1336,1,1294,37.44,0.03,36.27,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260402,1225,16942,348,952,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-08-07,289184,0,1,3083146,2865351,181707,171251,2901439,2694100,354396,351506,309150,3275,3100,312250,2070,1035,8782,881,7301,600,1263,2,1211,38.56,0.06,36.98,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238582,1150,18981,364,889,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-08-08,289184,0,0,3006280,2800796,155746,144260,2850534,2656536,360328,357704,317885,2998,2843,320728,1907,940,9152,1008,7471,673,1168,1,1125,38.96,0.03,37.53,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239315,1029,16409,243,856,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-08-09,289184,0,0,3269221,3073502,161831,153285,3107390,2920217,375141,372750,334808,2762,2614,337422,1748,869,9499,1124,7637,738,1107,1,1062,40.08,0.04,38.45,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268044,923,18963,277,901,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-08-10,289184,0,0,3511273,3301632,156019,147386,3355254,3154246,414473,412268,366720,2636,2490,369210,1679,815,9874,1255,7780,839,1076,1,1037,40.82,0.04,39.34,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279927,859,19746,277,1011,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
