日付,会員数,新規登録数,新規登録（デカプロフ入力完了）,PV全体,SP-PV全体,PV(会員),SP-PV(会員),PV(非会員),SP-PV(非会員),閲覧UU全体,閲覧UU(非会員),閲覧SP-UU(非会員),DAU全体,SP-DAU全体,暫定閲覧SP-UU全体,DAU iOS,DAU Android,MAU進捗,新規UU進捗,リピートUU進捗,呼び戻しUU進捗,プラットフォーム利用UU,デカトップ利用UU,デカホーム利用UU,プラットフォーム利用率,デカトップ利用率,デカホーム利用率,離脱率(7日後),離脱率(30日後),つながり数平均,つながり数中央値,つながり申請UU,つながり申請数,ソーシャルコネクト数(facebook),ソーシャルコネクトUU(facebook),ソーシャルコネクト数(twitter),ソーシャルコネクトUU(twitter),ソーシャルコネクト数(ameba),ソーシャルコネクトUU(ameba),ソーシャルコネクト数(mixi),ソーシャルコネクトUU(mixi),ソーシャルポスト数(facebook),ソーシャルポストUU(facebook),ソーシャルポスト数(twitter),ソーシャルポストUU(twitter),ソーシャルポスト数(ameba),ソーシャルポストUU(ameba),ソーシャルポスト数(mixi),ソーシャルポストUU(mixi),エントリーポスト数,エントリーポストUU,PV(like),PV UU(like),PV(follow),PV UU(follow),PV(tutorial end),PV UU(tutorial end),全コメント総数,全コメントUU,全いいね総数,全いいねUU,メッセージ総数,メッセージUU,スペンドUU全体,スペンド額全体,スペンドARPPU全体,スペンドARPU全体,スペンド率全体,スペンドUU（iOSポイント）,スペンド額（iOSポイント）,スペンドARPPU（iOSポイント）,スペンドARPU（iOSポイント）,スペンド率（iOSポイント）,スペンドUU（コイン）,スペンド額（コイン）,スペンドARPPU（コイン）,スペンドARPU（コイン）,スペンド率（コイン）,スペンドUU（アメG）,スペンド額（アメG）,スペンドARPPU（アメG）,スペンドARPU（アメG）,スペンド率（アメG）
2014-07-01,289180,0,5,2499806,2334766,564242,556885,1935564,1777881,325196,316112,256298,9978,9822,266120,6005,3861,9978,271,9533,174,3802,3,3644,38.10,0.03,36.52,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168054,3969,10654,885,903,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-07-02,289180,0,2,2551756,2333206,572310,564550,1979446,1768656,319742,310876,248950,9688,9532,258482,5955,3612,12333,502,11458,373,3559,3,3422,36.74,0.03,35.32,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168058,3931,11958,915,803,4,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-07-03,289180,0,3,2471563,2325298,559131,547977,1912432,1777321,308733,299787,260834,9762,9617,270451,5928,3723,13853,733,12584,536,3675,5,3537,37.65,0.05,36.23,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170689,3881,9955,925,825,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-07-04,289180,0,3,2409333,2274503,540214,533316,1869119,1741187,290999,282089,242402,9803,9637,252039,5873,3794,15166,1028,13392,746,3736,2,3623,38.11,0.02,36.96,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185725,3825,10897,850,890,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-07-05,289180,0,3,3107052,2925803,611485,605974,2495567,2319829,350996,342129,296489,9788,9654,306143,5957,3738,16300,1316,14067,917,3665,2,3545,37.44,0.02,36.22,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238750,4058,17506,1112,1227,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-07-06,289180,0,0,3490244,3298990,674211,669275,2816033,2629715,380044,370519,328457,10472,10322,338779,6371,4004,17528,1627,14782,1119,3957,3,3833,37.79,0.03,36.60,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266156,4210,20263,1169,1258,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-07-07,289180,0,3,2729171,2566590,602804,596431,2126367,1970159,329235,320129,281679,9984,9844,291523,6074,3810,18346,1872,15183,1291,3687,1,3562,36.93,0.01,35.68,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210164,4012,12880,979,949,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-07-08,289180,0,5,2487928,2329226,540400,535625,1947528,1793601,320473,311481,264389,9733,9617,274006,5936,3726,19023,2059,15533,1431,3564,5,3459,36.62,0.05,35.54,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177347,3965,10206,908,702,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-07-09,289180,0,5,2698763,2512403,575798,568560,2122965,1943843,352365,343381,292932,9805,9687,302619,5991,3734,19698,2273,15834,1591,3634,2,3521,37.06,0.02,35.91,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187864,3937,11654,926,695,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-07-10,289182,2,5,2924751,2737771,626725,621248,2298026,2116523,344065,335003,285573,9962,9838,295411,6081,3802,20392,2552,16109,1731,3735,4,3614,37.49,0.04,36.28,50.00,50.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214823,4036,13823,919,979,3,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
